;title;link;image_link;synonyms;japanese;type;episodes;status;aired;premiered;broadcast;producers;licensors;studios;source;genres;themes;demographic;duration;rating;score;ranked;popularity;members;favorites;platforms;synopsis;theme;genre
38;Chainsaw Maid;https://myanimelist.net/anime/11679/Chainsaw_Maid;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;;チェーンソー・メイド;ONA;1;Finished Airing;Dec 8, 2007;;;['Pony Canyon'];None found, add some;None found, add some;Original;['Comedy', 'Horror', 'Supernatural'];;6 min.;R - 17+ (violence & profanity);5.10;#12821;#6635;7,539;8;;[];"A family and their maid are going about their daily lives when, unexpectedly, a woman bursts into their home shouting, ""They're coming!"" She then vomits out her organs, turns into a zombie, and attacks the master of the house. The maid saves her employer, but he and his daughter are stunned and have difficulty processing the events. As more and more zombies invade the residence, the maid decides it is her duty to defend the house from unwanted guests—using a chainsaw!  [Written by MAL Rewrite]";;
39;Karakuri no Kimi;https://myanimelist.net/anime/1658/Karakuri_no_Kimi;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;The Clockwork Ones;からくりの君;OVA;1;Finished Airing;Mar 24, 2000;;;['Shogakukan-Shueisha Productions', 'Toho'];Media Blasters;TMS Entertainment;Manga;['Action', 'Comedy', 'Fantasy', 'Horror', 'Supernatural'];Shounen;41 min.;R+ - Mild Nudity;6.46;#6915;#6639;7,531;9;['Historical', 'Martial Arts', 'Samurai'];[];Princess Rangiku lost her entire family to Lord Karimata, who invaded her home seeking her father's life work, puppets with unique capabilities. As her duty, Rangiku sets out with three of her father's greatest puppet warriors to seek revenge. She can manipulate these to battle the strongest of warriors, however manipulating the puppets leaves her own self vulnerable to direct attacks, so she seeks a ninja warrior named Manajiri to aid and protect her in her quest.  (Source: ANN);;
40;Kimera;https://myanimelist.net/anime/2592/Kimera;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Ki*Me*Ra;祈明羅;OVA;1;Finished Airing;Jul 31, 1996;;;['Studio Tulip'];ADV Films;animate Film;Manga;['Action', 'Boys Love', 'Horror', 'Sci-Fi', 'Supernatural'];;47 min.;R+ - Mild Nudity;5.11;#12802;#6706;7,325;7;;[];Osamu and Jay are two cereal salesmen traveling for work when they encounter a barricade. Curious as to what is going on, they step out of their car and enter into a government secret. Two mysterious demon-like men have been terrorizing the military, who came to respond to a car crash involving a vehicle carrying government research material. Inside the car wreckage, Osamu finds a beautiful hermaphrodite with gold and crimson eyes trapped in a frozen chamber. Osamu shares a kiss with them through the glass before he is forced to flee the scene.  Osamu and Jay interrogate Jay's father, a top researcher at a government laboratory, who reveals that what Osamu and Jay saw was top-secret, and they would likely be sitting in prison if it weren't for his influence. While Jay is ready to forget everything that happened, Osamu cannot let it go that easily. After stealing a security badge, Osamu finds where the person he kissed is being kept, and learns that their name is Kimera. Osamu wants to run away with the beautiful Kimera, though he does not know why Kimera is being held captive or what a relationship with them means for the future of humanity.  [Written by MAL Rewrite];Vampire;
41;Umezu Kazuo no Noroi;https://myanimelist.net/anime/6276/Umezu_Kazuo_no_Noroi;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;;楳図かずおの呪い;OVA;1;Finished Airing;Mar 1, 1990;;;['Takahashi Studio'];None found, add some;None found, add some;Manga;;;43 min.;R - 17+ (violence & profanity);6.18;#8479;#6744;7,212;30;;[];"""Do not toy with the supernatural.""  Two stories of the consequences that descend upon humans who venture beyond the safe confines of their ordinary worlds.  When a gorgeous girl named Rima transfers into Masami's class, she's not only jealous, but also deathly frightened of her. While the boys in class are tripping all over themselves to get to Rima, Masami's having nightmares of a ghastly visitor and finding scars on her body come morning. She asks a friend to help her get evidence to confirm her suspicions about the new girl. But if a picture is worth a thousand words, a video must be worth far more. The truth can set you free, but it can also be more terrifying than anything you can imagine.  Shy Miko and her more outgoing friend Nanako are enjoying their summer vacation, trying to make the most of their youth. But when horror-movie marathons just aren't thrilling enough, Nanako sets her eyes on a new target: an abandoned mansion at the edge of town, said to be haunted. With two other friends in tow, a reluctant Miko and a gung-ho Nanako enter the mansion. Soon, everything that can go wrong starts going wrong. Only luck or a miracle will allow them manage to escape the mansion with their lives, their sanity, and even their sense of reality.  (Source: Hanako)";;Horror
42;Ao Oni The Animation (Movie);https://myanimelist.net/anime/33820/Ao_Oni_The_Animation_Movie;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;;青鬼 THE ANIMATION;Movie;1;Finished Airing;Feb 11, 2017;;;['None found', 'add some'];None found, add some;Studio Deen;Game;['Horror', 'Mystery'];;1 hr.;R - 17+ (violence & profanity);4.09;#13672;#6752;7,184;3;;['Crunchyroll'];An animated film series based on the Ao Oni game. It will feature a new story.;;
43;Dark Gathering;https://myanimelist.net/anime/52505/Dark_Gathering;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;;ダークギャザリング;TV;Unknown;Not yet aired;Jul 2023 to ?;Summer 2023;Unknown;['Pony Canyon', 'Shueisha'];None found, add some;OLM;Manga;['Horror', 'Supernatural'];Shounen;Unknown;None;N/A;N/A;#6755;7,185;16;;[];Keitarou Gentouga is a college freshman who hates ghosts. Unluckily for him, he has a knack for attracting spirits. Two years ago, this connection had led to him receiving a spiritual injury on his right hand, with his friend getting caught in the crossfire. The event caused him to become a shut-in, leaving him with very poor social skills. Fortunately, Keitarou is slowly starting to mingle with society, thanks to the help of his childhood friend, Eiko Houzuki.  As part of his rehabilitation, Keitarou takes on the part-time job of a private tutor, and his first pupil is none other than Eiko's cousin, Yayoi Houzuki. Besides being a child prodigy, there is another peculiarity regarding Yayoi—she has a spiritual constitution, just like Keitarou. However, in contrast to Keitarou, she yearns to encounter spirits, hoping to find the ghost that took her mother away. As Keitarou is dragged along by Yayoi and Eiko to haunted spots, his part-time job seems to be straying further and further away from its original purpose.  [Written by MAL Rewrite];;
44;Inda no Himekishi Janne;https://myanimelist.net/anime/4004/Inda_no_Himekishi_Janne;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Inda no Himekishi Janne The Animation, The Princess Knight Janne;淫堕の姫騎士ジャンヌ;OVA;2;Finished Airing;Jan 26, 2006 to Apr 27, 2007;;;['Himajin Planning'];None found, add some;None found, add some;Visual novel;['Fantasy', 'Horror', 'Hentai'];;29 min. per ep.;Rx - Hentai;6.29;N/A;#6773;7,133;19;;[];There is a beautiful princess, Janne, in a beautiful country. She has a special ability in sword technique and magic. The country is peaceful but monsters called ogres start to attack them. Janne takes an initiative and battles the ogres but her younger sister Yuwa is taken by them. Janne goes to Dark Elf's fastness by herself but she is trapped and caught by them. Janne is given a sexual training there and her body and spirit gradually change...;;
45;Ningyo no Mori;https://myanimelist.net/anime/2016/Ningyo_no_Mori;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Mermaid Forest OVA, Rumic World 4;人魚の森;OVA;1;Finished Airing;Aug 16, 1991;;;['OB Planning'];None found, add some;Pastel;Manga;['Drama', 'Fantasy', 'Horror', 'Mystery'];Shounen;55 min.;R - 17+ (violence & profanity);6.73;#5343;#6820;7,027;7;;[];It is said that consuming the flesh of a mermaid confers immortality. This certainly proved to be the case for the 500-year-old Yuta and his friend Mana. However, most people who try to become immortal either die or transform into monsters.  Fifty-five years ago, Towa Kannagi was given mermaid blood by her sister, Sawa, in order to cure a fatal illness. Now, Towa maintains her youthful appearance, save her white hair and beastly arm. For years she has dreamed of restoring her body, resorting to blood transfusions from youthful corpses aided by the local doctor, Shiina.  Mana, mistaken for dead by Shiina, is brought in to have her blood used by Towa. When she discovers that Mana is alive, what lengths will Towa go to in order to restore herself? Will Yuta be able to save Mana in time?  [Written by MAL Rewrite];;
46;Shin Megami Tensei: Tokyo Mokushiroku;https://myanimelist.net/anime/1338/Shin_Megami_Tensei__Tokyo_Mokushiroku;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;True Goddess Reborn: Tokyo Revelation;真・女神転生　東京黙示録;OVA;2;Finished Airing;Apr 21, 1995 to Jun 21, 1995;;;['Sony Music Entertainment', 'Sanctuary'];None found, add some;J.C.Staff;Manga;['Action', 'Horror', 'Sci-Fi', 'Supernatural'];;30 min. per ep.;R - 17+ (violence & profanity);5.35;#12176;#6846;6,971;17;;[];Handsome and effeminate, quiet but proud, the sinister Akito Kobayashi has a passion for the occult and has developed a computer program to summon demons and the living dead. But little does he know that fellow high school students Kojirou Souma and Saki Yagami are reincarnations of powerful and benevolent spirits. When the pair's friends have become targeted by demons trying to harvest their life energies, they must harness their dark metaphysical powers to destroy Kobayashi's threatening program, or risk losing their loved ones forever.  [Written by MAL Rewrite];Mythology;
47;Agitated Screams of Maggots;https://myanimelist.net/anime/9056/Agitated_Screams_of_Maggots;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Dir en grey: Agitated Screams of Maggots;アジテイテッド・スクリームズ・オブ・マゴッツ;Music;1;Finished Airing;Nov 2006;;;['None found', 'add some'];None found, add some;None found, add some;Original;['Avant Garde', 'Horror'];;3 min.;R+ - Mild Nudity;4.18;#13658;#7012;6,501;8;;[];"""Agitated Screams of Maggots"" was directed by Keita Kurosaka and released in 2006 with the single, ""Agitated Screams of Maggots"", made by Japanese rock band, DIR EN GREY. ASOM has a traditional drawing design with erotic and grotesque aspects. The video had also received some attention from it's art style and was shown at the International Film Festival Rotterdam in 2007.";Music;
48;Blue Seed 2;https://myanimelist.net/anime/999/Blue_Seed_2;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Blue Seed 2: Operation Mitama, Blue Seed OVA;ブルーシード 2;OVA;3;Finished Airing;Jul 24, 1996 to Feb 4, 1998;;;['Movic', 'ING', 'King Records'];ADV Films, Discotek Media;Production I.G, Xebec;Unknown;['Action', 'Comedy', 'Drama', 'Horror', 'Mystery', 'Sci-Fi', 'Supernatural', 'Ecchi'];;28 min. per ep.;R - 17+ (violence & profanity);6.41;#7176;#7029;6,471;1;;['Crunchyroll', 'HIDIVE'];A renegade scientist in San Francisco has found a way to create a new creature called a Neo-Aragami without the power of Susanoo. When these monsters start to terrorize California, the U.S. turns to the old members of the Terrestrial Administration Center (TAC) for help.  (Source: ANN);;
49;Kokuhaku;https://myanimelist.net/anime/31634/Kokuhaku;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;;コクハク;ONA;1;Finished Airing;Aug 27, 2015;;;['None found', 'add some'];None found, add some;None found, add some;Original;;;40 sec.;R - 17+ (violence & profanity);2.29;#13762;#7042;6,447;18;;[];Beside a certain building, a girl appears to meet an important person. She is shy and carefully prepares herself before delivering what she has come to convey. Reaching behind her back, she lets her feelings come forth... But is it a confession of love, or something else entirely?  [Written by MAL Rewrite];;Horror
50;Kyoushoku Soukou Guyver;https://myanimelist.net/anime/2293/Kyoushoku_Soukou_Guyver;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;;強殖装甲ガイバー;Movie;1;Finished Airing;Dec 13, 1986;;;['Movic'];None found, add some;None found, add some;Unknown;['Action', 'Horror', 'Sci-Fi'];;54 min.;R+ - Mild Nudity;6.20;#8355;#7083;6,364;20;;[];"The plot of this OVA is a rough adaptation of the first four chapters of the Guyver manga. It covers the same basic elements of these chapters; Genesis of the guyver, Fight with Vamore, Fight with Guyver 2 and the introduction of Guyver 3. Main differences are the exclusion of Tetsuro and his replacement by Mizuki, The replacement of Lisker with a female Agent ""Valcuria"", and thus a female Guyver 2. There is also a look at Sho's psychology of how he deals with his situation including a very harsh moment where his friends are assassinated in cold blood.  One night, high school student Sho Fukamachi discovers a mysterious metal object. Then in a blinding flash of light, Sho finds that he has accidentally fused with the Guyver, a mecha of mysterious alien design.  Now, to save his girlfriend, Mizuki Segawa, along with the entire world, Sho must become the Guyver to fight the Chronos Corporation and their biocreatures, called Zoanoids, who are hell-bent on world domination.  (Source: Wikipedia)";Super Power;
51;Malice@Doll;https://myanimelist.net/anime/2261/MaliceDoll;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Malice Doll;Malice@doll マリスドール;OVA;3;Finished Airing;Apr 27, 2001 to Jun 22, 2001;;;['GAGA', 'Arts Magic'];None found, add some;Soeishinsha;Original;['Horror', 'Sci-Fi'];;30 min. per ep.;R - 17+ (violence & profanity);6.00;#9483;#7150;6,230;64;;[];Malice, a sex robot living in an abandoned human city, is assaulted and violated by a mysterious creature. Upon awakening, Malice finds out that she has become human and can pass on her humanity to her fellow machines. However, her gift soon becomes a curse when her fellow robots rage out of control after being exposed to the pleasures of life.  (Source: ANN);Psychological;
