;title;link;image_link;synonyms;japanese;type;episodes;status;aired;premiered;broadcast;producers;licensors;studios;source;genres;themes;duration;rating;score;ranked;popularity;members;favorites;demographic;platforms;synopsis;theme;genre
19;On the Table;https://myanimelist.net/anime/38977/On_the_Table;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;on the table;ONA;1;Finished Airing;Jul 9, 2011;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;;3 min.;G - All Ages;5.40;#12017;#15539;394;0;;;[];A psychedelic short animation by Masanobu Hiraoka.;;Music
20;Why Re-Mix 2002;https://myanimelist.net/anime/30669/Why_Re-Mix_2002;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;;Movie;1;Finished Airing;2002;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;;3 min.;G - All Ages;4.75;#13347;#15548;392;0;;;[];Film by Tanaami Keiichi.;;
21;Superfluid;https://myanimelist.net/anime/40105/Superfluid;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Superfluid;ONA;1;Finished Airing;Apr 16, 2007;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;;1 min.;G - All Ages;5.03;#12959;#15555;391;1;;;[];Short film by Kojirou Shishido originally released in 2007. A 4K version of the film was uploaded to his YouTube channel November 14, 2018.;;Music
22;Genei Toshi;https://myanimelist.net/anime/29665/Genei_Toshi;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;幻影都市;Movie;1;Finished Airing;1967;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;;4 min.;G - All Ages;5.00;#12997;#15580;389;0;;;[];Independent animation by Shimamura Tatsuo.;;
23;Tarzan;https://myanimelist.net/anime/30341/Tarzan;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;ターザン;Movie;1;Finished Airing;1990;['Takun Manga Box'];None found, add some;None found, add some;Original;Avant Garde;;6 min.;G - All Ages;5.24;#12489;#15599;387;1;;;[];Furukawa Taku film.;;
24;Color Cycling;https://myanimelist.net/anime/39000/Color_Cycling;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;カラーサイクリング;ONA;1;Finished Airing;Jan 10, 2019;['Decovocal'];None found, add some;None found, add some;Original;Avant Garde;;2 min.;G - All Ages;5.21;#12565;#15609;386;0;;;[];A work with the theme of color following a soul and the circle of life as color and colorlessness wax and wane.  The short had an updated version uploaded on February 21, 2019 which has some minor color changes for some scenes.;;
25;Tsukiyo & Opal;https://myanimelist.net/anime/38700/Tsukiyo___Opal;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;月夜＆オパール;Movie;1;Finished Airing;Mar 7, 2015;['Geidai Animation'];None found, add some;None found, add some;Original;Avant Garde;;3 min.;G - All Ages;5.17;#12661;#15623;385;0;;;[];Half asleep with my eyes closed, my conscience flies beyond time and space and I transform myself to all the life forms existing. I become the universe and the universe becomes me, until I fall asleep.... It is a song to pray for the existence of heart and soul at an awakening.;;
26;Out of My Mind;https://myanimelist.net/anime/40727/Out_of_My_Mind;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Out of My Mind;Movie;1;Finished Airing;2016;['Geidai Animation'];None found, add some;None found, add some;Original;Avant Garde;;6 min.;G - All Ages;5.52;#11608;#15695;379;1;;;[];Deep within my dream, there comes a landscape in my shapeless eyes. The peaceful sight gradually distorts. When anxiety and upsurge stands behind us, the nightly liberation begins.  (Source: YouTube);;
27;Tsuiseki;https://myanimelist.net/anime/29649/Tsuiseki;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;追跡;Movie;1;Finished Airing;1966;['None found', 'add some'];None found, add some;None found, add some;Unknown;Avant Garde;;3 min.;G - All Ages;4.96;#13062;#15700;379;0;;;[];Experimental animation by Manabe Hiroshi, member of the Animation Sannin no Kai pioneer group of independent animation.;;
28;Tokyo Fantasia;https://myanimelist.net/anime/29780/Tokyo_Fantasia;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;東京ファンタジア;Movie;1;Finished Airing;2005;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;;8 min.;G - All Ages;5.47;#11767;#15709;378;0;;;[];A musical animated film by G9+1, a group of veteran animators. It won the Tokyo Anime Award in 2010.;TOKYOファンタジア;Music
29;Mug;https://myanimelist.net/anime/42820/Mug;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;MUG;Music;1;Finished Airing;Apr 24, 2020;['Warner Music Japan'];None found, add some;None found, add some;Original;Avant Garde;;3 min.;G - All Ages;5.98;#9560;#15717;377;1;;;[];Music video for Keina Suda's single Mug.;;Music
30;Shashinki '87;https://myanimelist.net/anime/31265/Shashinki_87;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;写真記 '87;Movie;1;Finished Airing;1987;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;;3 min.;G - All Ages;5.14;#12729;#15719;377;1;;;[];Film by Takashi Ito.;;
31;Rainbow;https://myanimelist.net/anime/41447/Rainbow;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;REINBOU;Movie;1;Finished Airing;2006;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;;1 min.;G - All Ages;4.84;#13232;#15740;375;0;;;[];Short animation of a man pole vaulting with a rainbow-colored shape. As the shape bends, straightens, and moves, there are several different techniques to be observed.;;Music
32;Swimming;https://myanimelist.net/anime/29956/Swimming;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;SWIMMING;Movie;1;Finished Airing;2008;['None found', 'add some'];None found, add some;None found, add some;Unknown;Avant Garde;;4 min.;G - All Ages;5.34;#12224;#15742;375;0;;;[];The short animation evokes all the awkwardness of a school swimming class. A chubby young boy, steps up reluctantly for his turn, after watching the sporty prowess of his peers.  (source: Official website);;
33;Pupa (Movie);https://myanimelist.net/anime/50302/Pupa_Movie;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Pupa;Movie;1;Finished Airing;2019;['Geidai Animation'];None found, add some;None found, add some;Original;;;3 min.;R+ - Mild Nudity;5.91;#9956;#15753;374;1;['Avant Garde', 'Slice of Life'];;[];How long has it been since she lost control of her body? She is completely tapped out and finds herself wishing that she could just shed her body.  (Source: Geidai Animation);;
34;Tansui;https://myanimelist.net/anime/40237/Tansui;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;淡水;Movie;1;Finished Airing;May 1986;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;;3 min.;G - All Ages;4.95;#13080;#15755;374;0;;;[];Early experimental film by Koji Yamamura.;;
35;Controller of Controller;https://myanimelist.net/anime/38424/Controller_of_Controller;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Controller of Controller;Movie;1;Finished Airing;May 18, 2016;['None found', 'add some'];None found, add some;None found, add some;Original;;['Music', 'Racing'];7 min.;G - All Ages;5.51;#11642;#15790;371;0;['Avant Garde', 'Comedy'];;[];A video game character finds a VR headset on the street.;;
36;Sensuikan Cassiopeia;https://myanimelist.net/anime/29647/Sensuikan_Cassiopeia;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;潜水艦カシオペア;Movie;1;Finished Airing;1964;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;;5 min.;G - All Ages;4.90;#13151;#15803;370;0;;;[];Experimental animation by Manabe Hiroshi, member of the Animation Sannin no Kai pioneer group of independent animation.;;
37;Yume Utsutsu;https://myanimelist.net/anime/30213/Yume_Utsutsu;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;夢現;Movie;1;Finished Airing;2002;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;;3 min.;G - All Ages;4.75;#13348;#15830;368;0;;;[];Is the path I am walking on now part of a dream or reality? This is the first animation film that is largely motionless.  (Source: Official website);Yumeutsutsu;
38;Two Tea Two;https://myanimelist.net/anime/34422/Two_Tea_Two;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;TWO TEA TWO;Movie;1;Finished Airing;2010;['None found', 'add some'];None found, add some;Decovocal;Original;Avant Garde;;3 min.;R+ - Mild Nudity;4.72;#13372;#15854;365;0;;;[];The woman does the decision to coexist with the past. Returning to one person was not an answer. It is a new image.  (Source: Official You Tube channel);;
39;Bug;https://myanimelist.net/anime/40016/Bug;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;BUG;ONA;4;Finished Airing;Mar 31, 2019 to Apr 1, 2019;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;;20 sec. per ep.;G - All Ages;4.76;#13334;#15862;364;0;;;[];Promotional web videos directed by Densuke28 to showcase the 2019 Spring & Summer line for Japanese clothing brand KAIKO.;Kaiko 2019 Spring & Summer Campaign Movie;
40;Uneasiness and Triangle;https://myanimelist.net/anime/38976/Uneasiness_and_Triangle;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Uneasiness and triangle;ONA;1;Finished Airing;Jul 8, 2011;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;;3 min.;G - All Ages;5.36;#12162;#15879;364;0;;;[];One of Masanobu Hiraoka's earlier short animations.;;Music
41;Miracle;https://myanimelist.net/anime/39700/Miracle;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Miracle;Music;1;Finished Airing;Nov 3, 2016;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;;4 min.;G - All Ages;6.20;#8362;#15887;362;0;;;[];"Music video directed by Shunji Iwai for the song Miracle by illion, Youjirou Noda's solo project, in the album ""P.Y.L.""";;Music
42;Petit Manga;https://myanimelist.net/anime/30418/Petit_Manga;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;プチ漫画;Movie;1;Finished Airing;2009;['Takun Manga Box'];None found, add some;None found, add some;Unknown;Avant Garde;;5 min.;G - All Ages;4.59;#13494;#15890;362;0;;;[];A short animation by Taku Furukawa.;Petti Manga;
43;Shinrabanshou.mp3;https://myanimelist.net/anime/40158/Shinrabanshoump3;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;森羅万象.mp3;Special;1;Finished Airing;Feb 22, 2018;['Pie in the sky'];None found, add some;None found, add some;Original;Avant Garde;;30 sec.;G - All Ages;5.71;#10803;#15899;361;0;;;[];Space Shower TV Station ID directed by Wataru Uekusa, with music by sasakure.UK.;Everything.mp3, Space Shower TV Station ID;Music
44;Ake-Vono;https://myanimelist.net/anime/39996/Ake-Vono;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Ake-Vono;Music;1;Finished Airing;Sep 26, 2013;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;;4 min.;G - All Ages;5.21;#12560;#15938;359;0;;;[];Music video directed by Kouhei Yoshino for the song Ake-Vono by Japanese instrumental band NETWORKS.;;Music
45;Sol;https://myanimelist.net/anime/31450/Sol;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;SOL;Music;1;Finished Airing;Jan 12, 2012;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;;2 min.;G - All Ages;4.74;#13354;#15931;359;0;;;[];This video clip is a story of realization. A story of a child who has been inheriting a negative legacy of humankind that continuously accumulates in diverse ways. The child keeps carrying the legacy, that is too heavy and too much to bear for her body, feverishly without knowing the real meaning of the act.  Soon, the child starts to act out a vision of knowledge, prayers, courage and curiosity. She realizes that positive power is the best balance towards purification and she should stop carrying on the negativity through a negative attitude.  (Source: Vimeo);;Music
46;Nosferatu;https://myanimelist.net/anime/36115/Nosferatu;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;ノスフェラトゥ;Music;1;Finished Airing;Feb 9, 2012;['None found', 'add some'];None found, add some;None found, add some;Music;Avant Garde;;2 min.;R+ - Mild Nudity;5.03;#12955;#15975;356;0;;;[];Official music video for Kindan no Tasuketsu's song Nosferatu.;Kindan no Tasuketsu, Kindan no Yokoku-hen;Music
47;Drive Car;https://myanimelist.net/anime/36264/Drive_Car;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;ドライブカー;Music;1;Finished Airing;2003;['None found', 'add some'];None found, add some;None found, add some;Music;Avant Garde;;3 min.;G - All Ages;5.03;#12945;#15984;355;0;;;[];Official music video for Keigo Iwase's second single Drive Car.;;Music
48;Buggy Map;https://myanimelist.net/anime/38773/Buggy_Map;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;BUGGY MAP;Special;2;Finished Airing;Dec 9, 2014 to Apr 1, 2015;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;;1 min. per ep.;G - All Ages;4.60;#13484;#15999;354;0;;;[];"Short animations by Densuke28 simulating video game bugs. The original short was a personal project and was released on his Vimeo page. The following year, a new version of the work was showcased at a museum exhibition on seven different screens, accompanied with a 3D printed model of the character in the short. A forty-nine second clip titled ""BUGGY MAP -Exhibition Ver.-"" was uploaded to Densuke28's official Vimeo which combines the animations on the multiple screens into one video.";BUGGY MAP -Exhibition Ver.-;
49;Henkei Sakuhin Dai 2-ban;https://myanimelist.net/anime/31585/Henkei_Sakuhin_Dai_2-ban;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;変形作品第２番;Movie;1;Finished Airing;1984;['None found', 'add some'];None found, add some;None found, add some;Unknown;Avant Garde;;23 min.;G - All Ages;5.39;#12052;#16008;353;0;;;[];Short film by Kurosaka Keita.;;
50;Hakuchuu Meikyuu;https://myanimelist.net/anime/29972/Hakuchuu_Meikyuu;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;白昼迷宮;ONA;1;Finished Airing;2004;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;;5 min.;G - All Ages;4.95;#13087;#16043;350;0;;;[];Short animation by Taro Shinkai.;Hakuchu Meikyu;
